SN,AT1,AT2,AT3,AT4,SN1,SN2,SN3,PBC1,PBC2,PBC3,EO1,EO2,EO3,EC1,EC2,EC3,EC4,EC5,GPI1,GPI2,GPI3,GPI4,GPB1,GPB2,GPB3,GPB4,GPB5,GPB6,Gender,Age,Marital_Status,PB,EC,EO,PI,PBC,SNs,ATT,CaseNo,ZPB,ZEC,ZEO,ZPI,ZPBC,ZSNs,ZATT,EOXEC,ATTXSN,PBCXSN,ATTXPBC
23,5,5,5,5,5,5,5,5,7,6,4,4,3,6,5,6,5,5,6,4,6,4,3,4,4,5,3,3,Female,21,Unmarried,3.6667,5.4000,3.6667,5.0000,6.0000,5.0000,5.0000,23,-1.1591,-0.1926,-1.3192,0.1426,1.1780,0.3511,-0.2410,0.2541,-0.0846,0.4136,-0.2839
24,5,4,4,6,6,4,4,4,5,6,4,5,5,5,6,6,6,4,3,4,3,3,5,4,4,4,4,3,Male,22,Unmarried,4.0000,5.4000,4.6667,3.2500,5.0000,4.6667,4.7500,24,-0.6982,-0.1926,-0.0608,-2.1002,-0.0364,-0.0837,-0.5655,0.0117,0.0473,0.0030,0.0206
25,6,7,7,6,4,5,6,6,6,5,4,4,6,5,6,7,6,6,5,6,7,6,5,5,5,6,5,4,Female,24,Unmarried,5.0000,6.0000,4.6667,6.0000,5.6667,5.0000,6.5000,25,0.6844,0.7284,-0.0608,1.4242,0.7732,0.3511,1.7062,-0.0443,0.5991,0.2715,1.3192
26,7,7,7,7,6,5,4,6,5,4,6,6,4,7,7,7,6,7,5,6,6,5,6,7,7,6,6,6,Female,23,Unmarried,6.3333,6.8000,5.3333,5.5000,5.0000,5.0000,7.0000,26,2.5279,1.9564,0.7781,0.7834,-0.0364,0.3511,2.3553,1.5223,0.8270,-0.0128,-0.0858
27,4,4,5,6,6,4,3,6,5,3,3,4,5,7,6,6,5,6,6,6,6,5,5,4,6,3,4,3,Female,23,Unmarried,4.1667,6.0000,4.0000,5.7500,4.6667,4.3333,4.7500,27,-0.4678,0.7284,-0.8998,1.1038,-0.4413,-0.5185,-0.5655,-0.6554,0.2932,0.2288,0.2495
28,5,6,5,5,6,6,5,6,5,4,5,5,5,6,7,6,5,6,5,5,4,7,6,5,5,4,3,5,Female,20,Married,4.6667,6.0000,5.0000,5.2500,5.0000,5.6667,5.2500,28,0.2235,0.7284,0.3586,0.4630,-0.0364,1.2208,0.0836,0.2612,0.1020,-0.0445,-0.0030
29,4,3,5,5,3,4,4,4,5,4,4,5,4,4,4,5,6,5,5,6,6,4,6,5,2,5,4,4,Female,21,Unmarried,4.3333,4.8000,4.3333,5.2500,4.3333,3.6667,4.2500,29,-0.2374,-1.1136,-0.4803,0.4630,-0.8461,-1.3882,-1.2146,0.5349,1.6861,1.1745,1.0276
30,5,6,6,5,3,5,5,3,4,4,6,4,6,5,5,6,5,6,4,5,6,3,5,4,5,5,3,3,Male,20,Unmarried,4.1667,5.4000,5.3333,4.5000,3.6667,4.3333,5.5000,30,-0.4678,-0.1926,0.7781,-0.4982,-1.6557,-0.5185,0.4081,-0.1499,-0.2116,0.8586,-0.6757
31,7,7,5,6,5,3,5,5,5,7,5,4,4,5,6,5,5,6,6,6,5,4,6,3,6,7,5,5,Female,20,Unmarried,5.3333,5.4000,4.3333,5.2500,5.6667,4.3333,6.2500,31,1.1453,-0.1926,-0.4803,0.4630,0.7732,-0.5185,1.3817,0.0925,-0.7165,-0.4009,1.0683
32,6,5,5,5,6,3,4,6,6,5,6,6,4,6,6,7,6,6,6,7,4,4,6,2,5,5,4,4,Male,22,Unmarried,4.3333,6.2000,5.3333,5.2500,5.6667,4.3333,5.2500,32,-0.2374,1.0354,0.7781,0.4630,0.7732,-0.5185,0.0836,0.8056,-0.0433,-0.4009,0.0646
33,5,4,4,5,4,3,4,7,6,5,4,3,5,5,6,5,5,5,5,4,5,5,7,7,4,7,7,6,Female,22,Unmarried,6.3333,5.2000,4.0000,4.7500,6.0000,3.6667,4.5000,33,2.5279,-0.4996,-0.8998,-0.1778,1.1780,-1.3882,-0.8900,0.4496,1.2355,-1.6353,-1.0485
34,5,7,5,7,4,2,4,4,3,3,5,5,3,5,4,5,7,6,5,4,5,4,4,5,3,4,4,4,Male,21,Unmarried,4.0000,5.4000,4.3333,4.5000,3.3333,3.3333,6.0000,34,-0.6982,-0.1926,-0.4803,-0.4982,-2.0605,-1.8231,1.0572,0.0925,-1.9273,3.7564,-2.1783
35,6,6,5,6,7,6,5,7,7,7,4,3,3,5,7,6,5,5,5,5,5,4,3,5,3,5,5,4,Male,22,Unmarried,4.1667,5.6000,3.3333,4.7500,7.0000,6.0000,5.7500,35,-0.4678,0.1144,-1.7387,-0.1778,2.3925,1.6556,0.7326,-0.1988,1.2130,3.9611,1.7528
36,4,6,5,5,6,3,6,6,7,7,4,4,4,6,5,3,3,5,5,5,5,3,2,4,2,5,3,4,Male,20,Unmarried,3.3333,4.4000,4.0000,4.5000,6.6667,5.0000,5.0000,36,-1.6200,-1.7276,-0.8998,-0.4982,1.9876,0.3511,-0.2410,1.5545,-0.0846,0.6979,-0.4790
37,7,6,5,4,4,6,5,6,5,5,7,4,3,7,6,6,7,6,4,5,4,5,4,4,3,5,4,3,Female,21,Unmarried,3.8333,6.4000,4.6667,4.5000,5.3333,5.0000,5.5000,37,-0.9287,1.3424,-0.0608,-0.4982,0.3684,0.3511,0.4081,-0.0816,0.1433,0.1294,0.1503
38,5,5,6,5,6,3,4,7,6,5,5,4,5,4,5,7,5,6,5,4,5,5,4,3,3,7,5,4,Female,21,Unmarried,4.3333,5.4000,4.6667,4.7500,6.0000,4.3333,5.2500,38,-0.2374,-0.1926,-0.0608,-0.1778,1.1780,-0.5185,0.0836,0.0117,-0.0433,-0.6109,0.0984
39,6,5,5,5,4,3,4,6,6,4,4,3,4,6,5,7,5,6,3,4,5,4,2,3,3,2,3,2,Male,20,Unmarried,2.5000,5.8000,3.6667,4.0000,5.3333,3.6667,5.2500,39,-2.7722,0.4214,-1.3192,-1.1390,0.3684,-1.3882,0.0836,-0.5559,-0.1160,-0.5114,0.0308
40,7,6,5,5,7,6,5,6,5,6,7,5,7,5,7,5,6,6,5,6,4,5,7,5,6,6,6,7,Male,19,Unmarried,6.1667,5.8000,6.3333,5.0000,5.6667,6.0000,5.7500,40,2.2975,0.4214,2.0365,0.1426,0.7732,1.6556,0.7326,0.8581,1.2130,1.2801,0.5665
41,5,3,6,4,5,3,5,6,6,7,2,3,3,6,5,5,4,4,6,5,4,5,4,2,2,5,3,5,Male,19,Unmarried,3.5000,4.8000,2.6667,5.0000,6.3333,4.3333,4.5000,41,-1.3896,-1.1136,-2.5777,0.1426,1.5828,-0.5185,-0.8900,2.8706,0.4615,-0.8208,-1.4088
42,7,6,6,6,5,6,5,6,6,5,6,6,5,7,6,7,6,7,6,7,6,7,4,6,4,6,5,7,Male,21,Unmarried,5.3333,6.6000,5.6667,6.5000,5.6667,5.3333,6.2500,42,1.1453,1.6494,1.1976,2.0650,0.7732,0.7860,1.3817,1.9753,1.0860,0.6077,1.0683
43,4,5,5,5,5,5,4,6,7,4,6,5,5,5,4,5,7,5,4,3,4,3,5,6,4,5,4,5,Female,21,Unmarried,4.8333,5.2000,5.3333,3.5000,5.6667,4.6667,4.7500,43,0.4540,-0.4996,0.7781,-1.7798,0.7732,-0.0837,-0.5655,-0.3888,0.0473,-0.0647,-0.4372
44,4,3,4,4,6,4,4,5,5,5,2,5,5,5,5,3,5,6,4,5,5,6,6,4,6,4,4,5,Female,22,Unmarried,4.8333,4.8000,4.0000,5.0000,5.0000,4.6667,3.7500,44,0.4540,-1.1136,-0.8998,0.1426,-0.0364,-0.0837,-1.8636,1.0020,0.1560,0.0030,0.0679
45,4,4,6,4,5,5,4,7,7,6,4,4,4,6,4,4,4,5,5,7,7,4,3,3,3,4,4,4,Male,23,Unmarried,3.5000,4.6000,4.0000,5.7500,6.6667,4.6667,4.5000,45,-1.3896,-1.4206,-0.8998,1.1038,1.9876,-0.0837,-0.8900,1.2782,0.0745,-0.1664,-1.7691
46,7,5,5,6,6,5,4,6,3,3,6,4,4,6,6,7,6,7,7,6,6,6,4,5,5,6,7,5,Female,19,Unmarried,5.3333,6.4000,4.6667,6.2500,4.0000,5.0000,5.7500,46,1.1453,1.3424,-0.0608,1.7446,-1.2509,0.3511,0.7326,-0.0816,0.2572,-0.4392,-0.9164
47,6,7,6,5,4,4,5,6,6,5,3,7,5,5,4,6,6,5,4,6,6,4,5,4,5,5,5,4,Female,21,Unmarried,4.6667,5.2000,5.0000,5.0000,5.6667,4.3333,6.0000,47,0.2235,-0.4996,0.3586,0.1426,0.7732,-0.5185,1.0572,-0.1792,-0.5482,-0.4009,0.8174
48,5,3,5,4,5,5,3,6,2,4,5,5,4,5,5,6,6,6,6,4,6,6,4,4,3,5,4,5,Female,22,Unmarried,4.1667,5.6000,4.6667,5.5000,4.0000,4.3333,4.2500,48,-0.4678,0.1144,-0.0608,0.7834,-1.2509,-0.5185,-1.2146,-0.0070,0.6298,0.6486,1.5193
49,5,5,5,6,5,6,5,4,4,6,5,4,5,4,6,5,7,6,4,4,4,3,6,2,4,4,4,2,Male,20,Unmarried,3.6667,5.6000,4.6667,3.7500,4.6667,5.3333,5.2500,49,-1.1591,0.1144,-0.0608,-1.4594,-0.4413,0.7860,0.0836,-0.0070,0.0657,-0.3468,-0.0369
50,6,6,6,5,6,5,5,5,6,5,5,6,4,5,5,4,5,6,4,5,6,5,5,3,6,4,5,5,Female,23,Unmarried,4.6667,5.0000,5.0000,5.0000,5.3333,5.3333,5.7500,50,0.2235,-0.8066,0.3586,0.1426,0.3684,0.7860,0.7326,-0.2893,0.5758,0.2895,0.2699
51,5,5,4,6,5,4,5,6,6,7,4,5,5,4,6,7,6,5,6,7,6,6,4,3,3,5,6,5,Male,19,Unmarried,4.3333,5.6000,4.6667,6.2500,6.3333,4.6667,5.0000,51,-0.2374,0.1144,-0.0608,1.7446,1.5828,-0.0837,-0.2410,-0.0070,0.0202,-0.1325,-0.3814
52,5,4,4,4,7,3,4,5,4,5,4,6,6,4,6,4,4,5,6,5,5,5,5,4,4,5,5,5,Female,18,Unmarried,4.6667,4.6000,5.3333,5.2500,4.6667,4.6667,4.2500,52,0.2235,-1.4206,0.7781,0.4630,-0.4413,-0.0837,-1.2146,-1.1054,0.1017,0.0369,0.5359
53,6,6,5,6,5,4,5,5,5,5,6,5,7,6,6,7,5,4,5,7,5,6,5,6,4,6,5,4,Female,22,Unmarried,5.0000,5.6000,6.0000,5.7500,5.0000,4.6667,5.7500,53,0.6844,0.1144,1.6171,1.1038,-0.0364,-0.0837,0.7326,0.1849,-0.0613,0.0030,-0.0267
54,4,5,4,4,5,5,6,4,5,5,5,4,6,5,7,6,6,7,5,5,4,4,4,4,3,3,4,4,Female,21,Unmarried,3.6667,6.2000,5.0000,4.5000,4.6667,5.3333,4.2500,54,-1.1591,1.0354,0.3586,-0.4982,-0.4413,0.7860,-1.2146,0.3713,-0.9546,-0.3468,0.5359
55,5,3,4,5,4,6,6,5,4,3,5,4,4,6,7,5,7,5,5,5,5,6,3,3,3,5,4,3,Female,24,Married,3.5000,6.0000,4.3333,5.2500,4.0000,5.3333,4.2500,55,-1.3896,0.7284,-0.4803,0.4630,-1.2509,0.7860,-1.2146,-0.3498,-0.9546,-0.9832,1.5193
56,5,5,4,5,5,5,4,4,5,5,4,5,4,5,7,6,6,6,4,4,4,4,4,3,4,5,2,4,Female,19,Unmarried,3.6667,6.0000,4.3333,4.0000,4.6667,4.6667,4.7500,56,-1.1591,0.7284,-0.4803,-1.1390,-0.4413,-0.0837,-0.5655,-0.3498,0.0473,0.0369,0.2495
57,6,6,6,6,4,5,5,4,5,4,6,3,4,4,5,6,5,4,7,7,7,6,5,4,1,5,3,3,Male,22,Unmarried,3.5000,4.8000,4.3333,6.7500,4.3333,4.6667,6.0000,57,-1.3896,-1.1136,-0.4803,2.3854,-0.8461,-0.0837,1.0572,0.5349,-0.0885,0.0708,-0.8944
58,7,5,7,6,5,5,5,4,6,4,6,6,6,7,6,6,7,7,5,4,5,4,6,3,3,5,5,4,Female,21,Unmarried,4.3333,6.6000,6.0000,4.5000,4.6667,5.0000,6.2500,58,-0.2374,1.6494,1.6171,-0.4982,-0.4413,0.3511,1.3817,2.6671,0.4852,-0.1549,-0.6097
59,6,5,6,5,7,5,6,7,5,6,5,5,3,5,6,7,5,5,5,5,5,5,5,4,5,6,5,3,Female,21,Unmarried,4.6667,5.6000,4.3333,5.0000,6.0000,6.0000,5.5000,59,0.2235,0.1144,-0.4803,0.1426,1.1780,1.6556,0.4081,-0.0549,0.6757,1.9504,0.4807
60,5,6,5,6,7,6,4,4,4,5,5,5,5,5,6,7,6,6,4,4,5,4,6,2,6,5,3,3,Female,21,Unmarried,4.1667,6.0000,5.0000,4.2500,4.3333,5.6667,5.5000,60,-0.4678,0.7284,0.3586,-0.8186,-0.8461,1.2208,0.4081,0.2612,0.4982,-1.0329,-0.3453
61,5,5,4,5,3,3,6,6,5,5,5,3,3,6,6,5,6,4,5,5,4,4,4,3,7,5,4,4,Female,22,Unmarried,4.5000,5.4000,3.6667,4.5000,5.3333,4.0000,4.7500,61,-0.0069,-0.1926,-1.3192,-0.4982,0.3684,-0.9534,-0.5655,0.2541,0.5391,-0.3512,-0.2083
62,4,5,6,5,5,5,6,4,4,4,5,6,3,7,6,6,6,7,5,5,6,4,3,4,4,5,6,3,Female,25,Unmarried,4.1667,6.4000,4.6667,5.0000,4.0000,5.3333,5.0000,62,-0.4678,1.3424,-0.0608,0.1426,-1.2509,0.7860,-0.2410,-0.0816,-0.1894,-0.9832,0.3014
63,6,7,7,5,6,5,5,5,4,6,5,6,4,7,6,7,7,7,4,6,5,4,5,3,3,6,4,4,Male,18,Unmarried,4.1667,6.8000,5.0000,4.7500,5.0000,5.3333,6.2500,63,-0.4678,1.9564,0.3586,-0.1778,-0.0364,0.7860,1.3817,0.7016,1.0860,-0.0286,-0.0503
64,4,4,5,2,6,5,3,4,3,5,3,4,5,5,4,4,2,4,3,4,5,6,3,4,3,5,4,4,Male,22,Unmarried,3.8333,3.8000,4.0000,4.5000,4.0000,4.6667,3.7500,64,-0.9287,-2.6486,-0.8998,-0.4982,-1.2509,-0.0837,-1.8636,2.3832,0.1560,0.1047,2.3312
65,7,5,5,5,5,4,3,7,7,6,6,5,4,5,5,4,5,5,6,5,6,7,4,3,3,6,4,4,Male,21,Unmarried,4.0000,4.8000,5.0000,6.0000,6.6667,4.0000,5.5000,65,-0.6982,-1.1136,0.3586,1.4242,1.9876,-0.9534,0.4081,-0.3994,-0.3891,-1.8950,0.8112
66,7,6,6,7,5,5,5,6,6,6,6,6,6,5,7,6,6,6,6,6,4,7,5,6,5,5,5,4,Female,20,Unmarried,5.0000,6.0000,6.0000,5.7500,6.0000,5.0000,6.5000,66,0.6844,0.7284,1.6171,1.1038,1.1780,0.3511,1.7062,1.1778,0.5991,0.4136,2.0099
67,4,4,5,5,7,6,4,6,6,5,3,4,3,5,6,6,6,7,6,5,5,4,5,4,4,5,4,4,Male,21,Unmarried,4.3333,6.0000,3.3333,5.0000,5.6667,5.6667,4.5000,67,-0.2374,0.7284,-1.7387,0.1426,0.7732,1.2208,-0.8900,-1.2664,-1.0865,0.9439,-0.6882
68,4,5,5,4,5,5,3,6,3,5,7,4,5,5,5,5,4,5,4,5,4,4,3,4,6,5,5,5,Male,18,Unmarried,4.6667,4.8000,5.3333,4.2500,4.6667,4.3333,4.5000,68,0.2235,-1.1136,0.7781,-0.8186,-0.4413,-0.5185,-0.8900,-0.8665,0.4615,0.2288,0.3927
69,7,7,6,4,5,4,3,7,6,6,6,5,4,5,5,5,6,6,6,5,4,5,5,5,5,5,5,6,Male,22,Unmarried,5.1667,5.4000,5.0000,5.0000,6.3333,4.0000,6.0000,69,0.9149,-0.1926,0.3586,0.1426,1.5828,-0.9534,1.0572,-0.0691,-1.0079,-1.5090,1.6733
70,5,4,4,2,5,6,6,4,4,4,4,5,6,5,5,6,4,5,4,5,4,5,4,5,4,4,5,3,Female,21,Unmarried,4.1667,5.0000,5.0000,4.5000,4.0000,5.6667,3.7500,70,-0.4678,-0.8066,0.3586,-0.4982,-1.2509,1.2208,-1.8636,-0.2893,-2.2751,-1.5271,2.3312
71,5,6,4,5,6,4,5,6,4,4,5,4,5,4,4,5,5,5,3,5,6,6,5,2,4,4,4,4,Female,21,Unmarried,3.8333,4.6000,4.6667,5.0000,4.6667,5.0000,5.0000,71,-0.9287,-1.4206,-0.0608,0.1426,-0.4413,0.3511,-0.2410,0.0864,-0.0846,-0.1549,0.1063
72,4,6,5,4,4,5,5,4,6,5,6,5,5,5,5,5,6,6,5,6,5,6,3,4,5,5,4,5,Male,21,Unmarried,4.3333,5.4000,5.3333,5.5000,5.0000,4.6667,4.7500,72,-0.2374,-0.1926,0.7781,0.7834,-0.0364,-0.0837,-0.5655,-0.1499,0.0473,0.0030,0.0206
73,4,5,5,6,5,5,4,6,7,5,3,4,4,5,5,5,6,5,4,5,5,3,5,4,4,4,4,4,Male,20,Unmarried,4.1667,5.2000,3.6667,4.2500,6.0000,4.6667,5.0000,73,-0.4678,-0.4996,-1.3192,-0.8186,1.1780,-0.0837,-0.2410,0.6591,0.0202,-0.0986,-0.2839
74,6,5,5,5,3,4,4,5,3,4,5,4,6,4,4,7,5,5,3,4,5,4,5,2,4,6,5,5,Female,20,Unmarried,4.5000,5.0000,5.0000,4.0000,4.0000,3.6667,5.2500,74,-0.0069,-0.8066,0.3586,-1.1390,-1.2509,-1.3882,0.0836,-0.2893,-0.1160,1.7365,-0.1045
75,4,5,3,4,3,6,5,4,2,6,5,4,7,4,7,5,7,7,5,4,2,3,4,4,3,4,4,2,Female,20,Unmarried,3.5000,6.0000,5.3333,3.5000,4.0000,4.6667,4.0000,75,-1.3896,0.7284,0.7781,-1.7798,-1.2509,-0.0837,-1.5391,0.5667,0.1288,0.1047,1.9252
76,4,5,3,5,4,5,3,4,5,4,5,5,4,5,5,4,5,5,5,3,3,4,4,3,3,4,3,2,Female,18,Unmarried,3.1667,4.8000,4.6667,3.7500,4.3333,4.0000,4.2500,76,-1.8504,-1.1136,-0.0608,-1.4594,-0.8461,-0.9534,-1.2146,0.0677,1.1579,0.8066,1.0276
77,6,5,6,5,6,5,4,5,6,7,5,3,3,6,6,6,6,6,5,5,5,4,3,4,5,5,3,4,Male,22,Unmarried,4.0000,6.0000,3.6667,4.7500,6.0000,5.0000,5.5000,77,-0.6982,0.7284,-1.3192,-0.1778,1.1780,0.3511,0.4081,-0.9609,0.1433,0.4136,0.4807
78,4,4,5,5,5,4,4,3,4,4,3,2,4,5,5,5,4,5,3,3,3,5,5,4,5,5,3,5,Male,19,Unmarried,4.5000,4.8000,3.0000,3.5000,3.6667,4.3333,4.5000,78,-0.0069,-1.1136,-2.1582,-1.7798,-1.6557,-0.5185,-0.8900,2.4034,0.4615,0.8586,1.4736
79,5,5,5,6,7,3,5,5,7,4,4,4,6,4,5,6,5,5,5,5,5,5,4,2,5,5,3,1,Male,20,Unmarried,3.3333,5.0000,4.6667,5.0000,5.3333,5.0000,5.2500,79,-1.6200,-0.8066,-0.0608,0.1426,0.3684,0.3511,0.0836,0.0491,0.0293,0.1294,0.0308
80,4,4,6,4,5,6,4,5,4,4,5,4,5,4,5,6,5,5,5,5,5,5,4,3,3,5,4,3,Female,23,Married,3.6667,5.0000,4.6667,5.0000,4.3333,5.0000,4.5000,80,-1.1591,-0.8066,-0.0608,0.1426,-0.8461,0.3511,-0.8900,0.0491,-0.3125,-0.2971,0.7530
81,6,6,7,4,6,5,6,4,5,7,4,5,4,6,7,7,6,6,6,6,6,5,5,5,6,6,5,6,Female,23,Unmarried,5.5000,6.4000,4.3333,5.7500,5.3333,5.6667,5.7500,81,1.3757,1.3424,-0.4803,1.1038,0.3684,1.2208,0.7326,-0.6447,0.8944,0.4497,0.2699
