KNO1,KNO2,KNO3,KNO4,CON1,CON2,CON3,ATT1,ATT2,ATT3,ATT4,GPI1,GPI2,GPI3,GPI4,MAR1,MAR2,MAR3,MAR4,MAR5,IMA1,IMA2,IMA3,IMA4,IMA5,Q1_GENDER,Q2_BIRTHYEAR,Q3_PROVINCE/CITY
3,2,3,3,4,4,5,4,4,4,4,5,4,4,4,3,3,4,4,5,3,3,4,3,3,2,2007,5
4,5,4,5,5,5,5,4,5,4,5,5,5,5,4,3,3,4,3,5,5,4,4,3,4,2,2004,8
4,4,3,3,4,5,4,4,4,4,4,4,4,5,3,3,4,3,5,4,4,2,3,4,3,2,2005,7
3,2,4,4,4,5,5,5,3,4,4,4,4,4,4,2,3,4,4,4,3,4,3,3,2,1,2005,5
4,5,4,2,5,4,5,4,4,3,3,4,5,3,3,3,3,3,4,4,3,4,3,4,3,1,2006,9
5,3,4,5,5,5,5,4,5,4,4,5,5,4,5,3,4,3,5,3,4,4,4,4,5,1,2003,2
3,1,3,3,4,3,4,4,3,2,3,3,3,2,3,3,3,3,4,4,3,3,4,4,4,2,2005,5
3,3,4,2,4,4,3,3,3,4,3,4,4,4,4,3,4,3,5,2,4,2,2,3,4,2,2001,10
5,3,3,3,3,3,4,3,4,4,4,4,3,4,3,2,3,4,3,5,4,3,4,4,5,2,2002,8
3,2,4,3,4,4,5,4,4,4,3,5,4,4,5,4,2,5,3,5,4,3,4,4,4,1,2005,4
3,4,3,4,4,4,3,3,4,3,4,2,4,3,3,3,2,4,3,4,3,4,2,4,4,2,2007,1
3,2,4,3,3,5,4,5,4,4,4,4,5,1,4,3,3,3,4,4,3,4,4,3,3,1,2007,5
3,2,4,3,3,4,4,3,4,3,3,3,4,3,3,3,2,3,3,3,4,2,4,3,3,2,2005,6
3,3,4,4,4,4,4,3,5,4,5,3,5,3,4,4,3,5,4,3,5,3,4,3,4,1,2004,13
3,3,3,3,4,4,4,3,3,3,4,3,4,4,4,2,4,3,4,4,3,4,5,3,4,2,2004,3
3,3,2,3,4,4,4,3,4,3,4,4,4,3,4,3,3,4,5,3,4,4,4,3,3,2,2003,1
4,2,2,3,5,5,5,3,4,3,4,4,4,3,4,4,3,3,3,3,3,4,4,4,4,1,2002,5
4,3,2,3,4,5,5,4,4,4,3,5,4,5,5,4,4,5,4,3,4,5,3,5,5,2,2006,11
2,3,2,3,4,4,4,4,4,3,4,4,4,3,4,3,3,3,4,4,3,3,4,4,3,2,2002,8
3,3,4,1,4,4,5,3,5,4,4,4,4,4,3,3,4,5,4,4,2,3,3,3,4,2,2003,13
3,3,5,4,4,5,5,4,3,3,3,5,5,3,4,3,4,5,4,4,4,2,4,5,5,2,2005,13
4,3,4,4,4,5,5,4,4,3,4,4,4,2,4,3,2,4,3,4,4,2,4,3,3,2,2002,5
4,5,5,5,4,4,3,4,4,4,4,4,4,4,3,4,3,3,3,3,5,5,5,5,4,1,2002,6
4,3,3,3,5,3,4,3,4,3,5,4,4,3,2,3,4,5,4,3,4,4,4,3,4,1,2005,1
4,2,3,4,4,4,5,3,5,3,5,5,4,4,4,3,4,5,3,4,4,3,4,5,5,1,2001,10
3,2,5,5,5,4,4,3,4,4,4,3,4,3,4,4,3,4,5,3,2,3,3,5,3,1,2003,11
3,4,3,3,4,5,4,3,3,4,4,4,4,4,3,3,3,3,3,4,4,3,4,5,3,1,2002,3
4,3,4,2,5,5,4,3,4,5,3,4,3,4,2,2,4,3,3,4,3,3,4,5,4,1,2004,4
4,2,4,3,5,5,5,3,5,4,3,4,4,4,4,3,3,4,5,4,4,2,4,3,4,3,2003,3
4,2,3,4,5,4,4,3,4,4,4,4,4,4,3,2,3,4,4,3,2,3,4,3,3,2,2003,5
3,5,3,4,5,5,4,4,3,3,4,5,4,4,3,5,2,3,5,4,4,4,3,3,3,1,2001,10
2,4,4,3,4,4,4,4,4,4,5,4,3,4,4,3,2,4,3,5,3,2,3,4,4,1,2005,5
3,3,5,4,3,5,5,4,5,3,4,4,5,4,5,3,3,4,4,5,4,4,3,5,4,1,2001,3
4,2,3,5,4,5,5,5,5,4,4,5,4,4,5,4,3,4,4,3,3,4,4,5,4,2,2004,5
3,2,3,3,5,4,4,4,4,4,3,3,3,2,3,4,3,3,4,2,4,3,3,3,5,1,2004,5
2,3,4,2,3,4,3,4,5,4,4,3,4,3,4,2,3,3,3,4,3,3,3,4,4,1,2000,5
4,2,3,2,4,5,5,3,3,5,5,4,4,3,3,4,3,3,3,4,4,4,4,4,3,3,2003,5
3,2,2,3,4,4,4,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,2,2004,13
3,3,3,4,4,3,4,4,4,5,4,5,4,5,4,3,4,4,3,4,4,3,3,4,4,1,2005,6
3,3,4,2,4,4,5,4,4,3,4,5,4,4,4,2,4,4,4,5,4,4,4,4,3,1,2002,7
4,3,4,4,4,5,5,3,4,5,4,4,5,5,2,3,4,3,4,3,4,3,3,4,4,1,2004,5
2,2,3,4,4,4,4,3,4,4,4,2,3,4,3,3,4,3,3,4,3,2,3,4,3,1,2003,3
3,3,3,2,3,5,3,3,4,3,3,4,4,3,4,3,4,4,4,5,4,4,5,4,4,2,2005,2
4,3,3,3,5,5,4,4,4,4,4,5,4,4,5,3,4,3,3,4,3,3,5,3,2,2,2004,5
3,4,4,4,5,5,4,5,4,4,4,4,5,3,5,3,3,3,4,4,2,3,4,4,4,1,2001,8
4,2,4,3,5,5,4,5,4,4,4,5,4,3,3,3,2,3,3,3,3,3,4,4,3,1,2005,5
4,2,5,3,3,5,5,4,4,4,5,4,4,5,4,3,4,5,4,4,4,5,3,4,5,1,2004,4
2,4,4,2,4,4,5,4,5,4,3,5,5,5,4,3,2,5,3,4,4,4,3,3,3,2,2004,5
4,3,5,2,3,4,5,5,5,4,4,5,5,3,3,3,3,2,4,2,3,2,3,4,2,1,2004,12
2,4,3,3,3,5,4,3,3,5,4,4,4,2,4,3,4,3,3,3,2,2,3,3,4,1,2006,10
4,5,3,4,4,4,4,3,3,4,4,4,4,4,3,3,3,3,4,4,5,2,4,3,2,1,2002,5
2,3,2,3,4,3,5,3,4,5,4,3,3,4,5,3,1,3,3,2,4,3,3,3,2,1,2005,3
3,3,4,4,5,3,4,4,4,4,4,4,3,3,4,3,5,4,3,4,4,2,4,3,3,1,2003,10
4,4,2,3,4,3,4,3,4,4,3,4,4,3,4,3,3,5,4,3,4,3,4,3,2,2,2004,8
3,2,2,3,4,4,3,4,4,3,3,4,3,4,3,3,3,3,3,3,2,3,3,4,4,1,2006,13
4,4,4,5,4,5,4,5,3,5,5,5,3,4,3,3,3,5,4,4,4,3,3,4,3,1,2002,5
3,3,4,3,4,4,5,2,3,4,3,3,4,3,3,1,2,3,3,4,4,4,1,3,3,1,2004,12
4,4,3,4,3,4,4,4,5,4,4,4,4,4,4,3,4,3,4,3,4,4,5,3,4,1,2004,5
3,2,3,4,3,5,5,4,4,4,4,5,4,2,3,3,3,4,3,3,4,4,3,4,4,1,2005,6
3,4,4,3,4,5,5,4,4,4,4,5,4,5,4,3,5,5,5,4,4,4,3,4,5,2,2005,7
3,3,5,5,3,5,4,4,5,5,4,5,4,4,4,4,5,5,5,5,4,4,3,4,5,1,2004,13
4,4,4,3,4,4,4,3,5,5,4,5,4,4,4,4,4,4,4,4,3,4,4,3,5,1,2002,2
3,4,5,5,5,5,5,4,3,4,4,4,4,5,5,4,3,3,4,4,5,4,4,5,3,2,2005,8
3,2,4,5,5,4,4,4,5,4,4,4,3,4,3,4,3,4,5,4,3,5,3,5,4,2,2002,6
4,4,3,2,3,5,3,5,5,4,4,4,4,4,5,5,5,5,5,4,4,4,5,4,4,1,2007,11
2,4,2,4,4,4,4,3,4,4,4,4,4,4,3,4,3,5,3,4,4,4,4,3,4,1,2003,7
3,4,4,5,5,3,4,4,4,4,5,4,4,3,4,3,4,5,4,4,4,4,3,3,3,1,2002,5
3,3,3,4,4,3,3,3,4,3,4,2,3,4,3,1,4,2,3,3,4,4,4,3,2,2,2003,4
4,4,5,4,4,5,5,4,4,5,5,4,4,5,4,4,4,4,4,4,4,4,5,4,4,2,2004,1
3,3,2,3,3,5,5,4,3,3,4,4,4,3,2,4,4,4,3,3,3,4,4,2,4,2,2005,1
4,4,4,3,5,5,5,4,5,4,4,5,4,4,5,3,3,4,3,4,4,3,4,4,5,1,2005,5
3,3,3,4,4,4,4,5,5,5,4,4,4,5,5,5,4,4,3,4,3,4,5,3,3,2,2004,5
4,4,4,3,4,4,5,5,3,3,5,4,3,4,4,4,3,4,3,3,3,5,4,4,4,2,2003,1
3,2,4,5,4,4,4,4,4,5,5,4,5,4,3,3,4,5,5,3,4,4,4,4,5,1,2004,10
4,4,4,5,5,3,5,4,5,5,4,5,5,5,5,5,5,5,4,3,4,4,4,5,5,1,2004,8
2,3,3,2,3,4,3,2,4,2,2,3,3,4,1,2,1,2,2,4,3,3,1,3,3,2,2005,5
3,3,1,4,4,4,4,4,3,4,3,3,3,4,2,3,4,4,3,4,3,3,3,1,2,1,2003,6
3,3,4,4,4,4,5,4,3,4,5,3,4,4,3,4,3,4,5,5,4,3,4,3,3,2,2005,9
4,3,5,3,4,5,5,3,2,3,3,3,5,4,3,3,4,3,4,2,3,4,4,3,2,1,2002,9
3,3,4,4,4,5,5,5,5,4,4,5,5,5,3,3,3,3,5,5,4,3,4,4,3,1,2006,3
3,2,4,2,3,3,4,3,3,3,4,4,3,3,2,3,4,2,3,4,3,4,3,3,3,2,2005,4
3,3,3,3,4,3,4,3,4,3,2,3,3,2,3,3,3,3,3,3,3,2,4,2,2,1,2005,11
5,5,3,5,5,5,5,4,5,4,3,3,5,3,5,3,4,5,5,5,3,5,4,3,4,2,2001,1
2,3,3,3,3,5,4,3,4,4,4,4,3,4,2,3,3,4,3,4,4,3,4,4,3,1,2003,1
4,3,5,5,5,4,5,4,5,5,4,4,3,3,5,4,2,4,4,5,5,4,3,4,3,1,2005,5
4,3,4,4,5,4,5,4,4,4,4,4,3,3,4,4,3,3,4,4,2,4,4,4,5,2,2005,11
2,2,4,4,4,4,5,3,4,5,5,5,5,5,3,3,3,3,4,5,3,3,3,4,2,2,2003,5
4,4,5,4,5,4,5,5,4,5,5,4,4,4,4,3,4,4,4,4,4,4,4,4,5,1,2004,4
4,3,3,5,5,5,4,5,4,5,3,4,5,5,4,4,4,4,4,3,5,2,5,4,4,2,2003,1
4,4,5,5,5,5,5,4,5,4,5,4,4,5,4,3,3,4,4,4,4,3,5,3,4,1,2005,1
5,4,4,3,4,3,3,4,5,5,4,4,4,2,4,4,4,4,3,3,4,4,4,3,3,2,2002,11
2,2,3,3,4,4,4,3,5,4,3,3,4,4,3,4,3,3,4,4,4,3,4,3,4,2,2001,11
4,4,4,3,4,5,5,4,5,4,5,5,4,4,2,4,3,4,3,4,5,4,3,4,3,1,2003,11
3,3,4,3,5,5,4,4,4,3,4,4,4,3,1,3,2,4,3,4,4,3,4,4,4,2,2006,13
3,4,5,2,4,5,5,5,3,3,4,4,4,5,4,4,4,4,5,4,4,4,5,3,4,1,2002,5
3,3,4,4,4,4,5,3,4,4,4,4,5,4,3,3,2,3,3,3,4,2,3,4,3,2,2003,6
4,5,3,4,4,4,4,4,4,3,4,4,4,3,4,4,3,4,3,4,4,4,4,2,4,2,2004,8
3,5,4,4,4,5,5,4,4,5,4,4,5,5,5,4,3,5,4,3,4,5,3,4,5,2,2003,5
3,4,4,4,4,5,4,4,5,5,3,3,4,5,5,4,4,4,5,4,4,4,5,4,4,1,2005,5
4,3,3,4,4,4,5,4,4,3,4,3,4,4,4,4,2,4,3,3,4,4,4,3,5,1,2004,5
3,3,2,5,3,5,4,3,4,4,3,4,2,3,2,4,3,4,2,5,3,3,4,4,3,1,2004,5
4,4,4,4,4,4,4,4,5,5,5,4,5,4,5,4,3,4,4,3,4,4,3,3,3,2,2005,1
1,2,4,3,4,4,4,2,3,3,3,4,4,2,3,4,2,3,3,3,3,3,2,2,3,1,2006,5
3,3,2,3,4,4,4,4,4,4,4,4,4,3,4,3,3,5,3,4,3,3,4,4,4,2,2005,6
3,3,4,3,4,3,5,4,4,3,4,4,3,4,4,5,3,4,3,4,3,4,4,4,4,1,2005,7
5,3,4,3,5,5,5,4,4,5,5,4,4,5,4,3,4,3,3,3,3,4,2,2,3,2,2002,5
3,4,5,2,5,5,5,4,5,5,4,4,5,3,4,3,3,3,5,5,5,4,5,4,5,2,2003,5
3,4,3,4,3,4,4,4,3,3,4,4,4,3,4,3,4,5,4,5,5,4,2,3,2,1,2000,5
3,4,2,5,5,5,4,5,4,4,3,3,2,4,4,3,4,3,3,3,4,4,3,4,4,2,2002,1
2,2,4,3,5,4,4,3,4,3,5,4,4,3,3,4,4,5,5,5,3,4,3,5,3,2,2005,5
2,3,3,3,4,3,4,2,4,4,4,2,4,3,3,3,4,3,3,5,3,3,3,3,3,2,2002,6
3,2,4,2,2,4,4,2,4,3,3,3,3,3,3,2,2,3,3,3,2,2,4,1,2,2,2004,3
4,4,2,4,4,5,5,4,5,5,5,4,4,5,3,3,5,4,4,3,4,4,5,4,5,2,2004,3
3,3,4,5,2,5,5,5,3,3,4,5,3,2,5,4,3,4,2,3,4,3,3,3,2,3,2004,8
5,4,4,3,5,5,5,5,4,5,5,5,5,5,5,4,2,4,5,4,5,4,4,3,3,1,2007,11
3,4,4,3,5,4,5,5,4,4,5,5,4,4,3,4,4,4,4,3,4,4,2,4,4,2,2004,5
5,2,5,4,4,3,5,4,4,4,4,4,5,3,5,3,4,4,4,4,4,4,5,5,4,2,2005,5
3,4,3,4,5,5,4,4,5,5,3,5,5,3,4,4,4,4,5,5,4,4,3,3,5,1,2002,4
4,4,3,4,5,5,5,5,5,5,5,4,5,5,4,3,4,4,4,5,5,3,4,5,4,1,2005,11
3,2,2,4,5,4,5,3,4,4,4,4,3,5,4,4,4,4,3,5,5,3,3,3,3,1,2003,3
3,3,4,3,5,5,5,5,4,3,3,5,5,5,5,4,3,3,4,3,3,4,5,4,4,1,2003,13
2,3,3,5,4,3,4,5,4,4,4,2,5,3,3,3,4,4,4,2,3,3,4,3,5,1,2002,7
4,4,2,3,3,3,4,3,5,3,3,3,4,3,4,3,3,3,4,4,4,3,2,4,3,1,2004,13
2,4,2,2,2,5,4,3,3,2,3,3,3,3,3,2,2,5,4,3,2,3,3,3,2,1,2001,5
3,4,3,5,4,5,5,4,5,4,5,4,5,5,5,4,4,4,4,4,5,4,4,4,5,1,2002,8
3,2,4,3,4,5,4,4,3,4,3,4,2,5,3,2,2,3,3,2,2,4,3,4,3,1,2003,5
4,5,4,3,3,4,4,5,5,5,5,5,5,4,4,5,4,5,5,4,3,4,3,4,4,1,2002,4
3,4,5,4,5,4,5,4,4,5,5,3,5,4,3,4,3,4,4,3,4,3,4,5,5,1,2003,1
3,2,2,4,5,4,4,4,4,3,4,4,3,3,5,3,3,2,3,2,4,4,5,3,4,2,2003,8
4,5,5,4,5,5,4,5,5,4,5,5,5,5,5,4,5,4,4,4,5,5,4,4,4,2,2001,5
3,2,4,3,4,4,5,4,4,4,4,4,4,4,4,4,2,4,4,3,4,5,2,3,4,2,2006,1
3,3,4,5,5,5,4,4,5,5,4,5,5,3,5,5,4,4,3,3,5,5,4,4,4,2,2002,13
4,3,3,3,4,4,3,5,5,3,3,4,3,3,4,4,4,3,2,4,3,4,3,3,3,1,2007,6
4,5,3,4,5,4,5,5,4,5,5,5,4,4,5,4,4,4,5,4,4,4,4,5,5,2,2004,12
5,3,4,4,4,5,4,5,4,4,4,5,3,4,4,3,2,3,4,5,4,3,5,3,4,2,2006,8
2,2,3,2,3,4,5,3,3,5,4,4,3,3,2,2,3,4,4,4,4,2,3,3,3,2,2003,10
2,2,3,2,4,5,4,5,4,4,4,3,4,4,3,1,3,3,3,3,4,2,3,3,2,2,2001,11
5,5,3,5,4,5,5,4,4,4,5,4,4,4,4,2,4,4,4,4,4,3,4,4,4,2,2003,9
4,5,5,4,4,5,4,4,5,4,3,3,5,4,3,4,4,3,5,5,3,4,1,4,4,1,2006,13
4,3,2,3,4,5,4,4,5,3,3,3,4,3,3,3,3,3,3,3,4,3,4,3,3,2,2005,11
3,2,2,4,3,3,4,3,4,3,3,4,4,3,2,3,3,3,3,4,4,3,4,4,3,2,2005,12
4,4,4,4,5,5,5,4,4,3,3,3,4,4,4,4,4,5,4,3,4,3,3,4,4,2,2006,5
2,3,2,4,3,4,4,3,4,4,3,3,4,4,1,4,2,4,3,3,3,3,3,2,4,2,2005,8
4,4,3,4,4,5,5,4,5,5,5,3,4,4,3,4,4,4,4,4,5,5,4,3,4,1,2004,8
4,4,3,3,4,5,4,3,4,4,4,3,3,4,4,4,1,4,5,4,4,3,4,4,3,1,2003,10
5,3,3,3,5,5,4,4,5,5,5,5,4,4,3,4,2,5,3,4,4,4,4,4,4,1,2005,7
4,5,4,3,4,5,5,4,5,4,3,4,5,3,4,4,3,5,4,5,3,5,4,4,4,1,2005,5
3,4,3,4,4,5,4,5,5,5,4,4,5,3,4,5,5,5,4,5,5,3,5,5,5,1,2007,10
4,2,2,3,4,4,4,2,4,4,4,4,3,2,3,3,3,2,2,3,2,4,3,4,3,2,2005,5
4,2,2,4,5,5,4,3,4,3,4,5,5,5,5,4,3,4,5,4,4,2,5,3,4,1,2005,1
2,2,3,3,3,4,3,4,4,4,4,4,4,2,5,4,3,3,4,2,3,3,2,3,5,2,2002,5
4,3,3,3,4,4,4,4,3,3,3,3,4,4,2,2,3,4,4,4,3,4,3,2,2,2,2005,10
3,4,2,4,3,3,4,3,4,3,3,3,4,3,4,3,1,2,2,4,3,3,3,4,4,1,2003,5
5,3,4,4,5,5,5,5,4,5,5,5,4,4,4,4,4,5,3,5,4,4,5,5,5,1,2002,7
2,3,3,2,4,4,3,4,3,2,3,3,3,3,4,3,3,2,3,4,2,4,3,3,4,1,2007,9
3,3,3,4,4,5,5,5,4,5,5,5,4,4,5,4,4,5,3,4,4,3,5,4,4,1,2001,1
3,3,4,3,4,4,5,5,4,2,4,5,5,4,4,3,2,4,5,4,5,5,4,3,3,2,2005,6
3,2,5,4,4,5,5,4,3,4,3,3,4,3,3,3,4,4,4,3,4,2,3,3,4,1,2002,10
5,4,3,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,5,3,4,4,2,2004,1
2,3,3,3,3,3,3,3,3,4,4,4,4,3,3,1,3,3,3,4,3,3,3,3,3,1,2005,5
5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,3,5,4,4,5,5,5,5,5,2,2004,7
3,4,3,3,4,3,5,3,4,4,3,4,3,4,4,4,2,4,4,4,4,3,3,4,5,1,2004,13
3,2,3,3,3,5,5,4,4,2,4,3,4,3,4,3,3,4,4,3,3,2,4,2,4,2,2006,1
4,4,4,5,5,4,4,5,5,5,5,3,4,5,5,4,5,5,4,4,5,4,4,5,4,2,2003,13
2,3,3,3,3,5,4,4,4,4,4,5,4,3,5,3,3,4,4,4,4,4,5,4,3,2,2003,10
3,1,2,4,5,4,4,3,4,4,4,3,3,4,1,4,3,3,2,4,3,4,2,4,3,2,2006,3
5,3,3,4,3,4,3,3,4,4,4,3,4,4,2,4,4,4,3,2,4,3,3,3,4,2,2002,3
3,3,2,3,4,4,3,3,4,2,5,3,4,3,3,3,3,3,4,3,4,3,4,3,4,2,2006,6
4,3,2,4,4,4,4,4,4,4,4,4,3,4,3,3,3,4,3,3,3,3,4,3,4,2,2005,8
4,3,4,4,5,5,5,5,5,4,5,5,4,5,4,3,4,4,4,4,5,3,5,4,5,2,2004,13
4,4,3,3,4,4,4,5,4,4,4,5,3,5,2,4,4,5,5,3,4,3,3,4,5,2,2005,11
3,4,2,4,5,4,4,3,4,4,3,3,5,2,4,3,4,4,4,4,3,4,3,4,4,1,2003,5
4,2,3,4,2,4,3,4,4,3,3,3,5,3,4,4,4,4,4,3,3,3,3,3,4,2,2006,1
4,3,3,2,5,5,5,4,4,5,4,4,4,2,4,5,3,4,2,4,4,2,4,3,3,2,2005,9
2,4,3,3,4,5,5,4,4,5,5,4,4,4,5,2,3,3,4,5,5,5,4,4,5,1,2005,13
