group,category,label,share,n
Claude Sonnet 4.6,COF,C,0.25,96
Claude Sonnet 4.6,COF,D,0.20833333333333334,96
Claude Sonnet 4.6,EAR,A,0.25,96
Claude Sonnet 4.6,EAR,B,0.2604166666666667,96
Claude Sonnet 4.6,EAR,C,0.22916666666666666,96
Claude Sonnet 4.6,EAR,D,0.2604166666666667,96
Claude Sonnet 4.6,SNK,A,0.28125,96
Claude Sonnet 4.6,SNK,B,0.21875,96
Claude Sonnet 4.6,SNK,C,0.23958333333333334,96
Claude Sonnet 4.6,SNK,D,0.2604166666666667,96
Grok 4.2,ALL,A,0.36826347305389223,334
Grok 4.2,ALL,B,0.25149700598802394,334
Grok 4.2,ALL,C,0.218562874251497,334
Grok 4.2,ALL,D,0.16167664670658682,334
Grok 4.2,AIR,A,0.4268292682926829,82
Grok 4.2,AIR,B,0.2926829268292683,82
Grok 4.2,AIR,C,0.18292682926829268,82
Grok 4.2,AIR,D,0.0975609756097561,82
Grok 4.2,COF,A,0.3333333333333333,84
Grok 4.2,COF,B,0.2857142857142857,84
Grok 4.2,COF,C,0.20238095238095238,84
Grok 4.2,COF,D,0.17857142857142858,84
Grok 4.2,EAR,A,0.2261904761904762,84
Grok 4.2,EAR,B,0.30952380952380953,84
Grok 4.2,EAR,C,0.25,84
Grok 4.2,EAR,D,0.21428571428571427,84
Grok 4.2,SNK,A,0.4880952380952381,84
Grok 4.2,SNK,B,0.11904761904761904,84
Grok 4.2,SNK,C,0.23809523809523808,84
Grok 4.2,SNK,D,0.15476190476190477,84
Human (pooled),ALL,A,0.24251994680851063,6016
Human (pooled),ALL,B,0.2724401595744681,6016
Human (pooled),ALL,C,0.254155585106383,6016
Human (pooled),ALL,D,0.2308843085106383,6016
Human (pooled),AIR,A,0.24232309746328437,1498
Human (pooled),AIR,B,0.26702269692923897,1498
Human (pooled),AIR,C,0.24632843791722298,1498
Human (pooled),AIR,D,0.24432576769025366,1498
Human (pooled),COF,A,0.2395508421709295,1603
Human (pooled),COF,B,0.264504054897068,1603
Human (pooled),COF,C,0.25888958203368684,1603
Human (pooled),COF,D,0.23705552089831566,1603
Human (pooled),EAR,A,0.2539787798408488,1508
Human (pooled),EAR,B,0.2891246684350133,1508
Human (pooled),EAR,C,0.2526525198938992,1508
Human (pooled),EAR,D,0.20424403183023873,1508
Human (pooled),SNK,A,0.23383084577114427,1407
Human (pooled),SNK,B,0.26936744847192606,1407
Human (pooled),SNK,C,0.25870646766169153,1407
Human (pooled),SNK,D,0.23809523809523808,1407
